text,description,explanation
willing,기꺼이 하는,She was willing to take on extra responsibilities to support the team.
withdraw,물러나다,He withdrew from the negotiation after the terms became unreasonable.
yield,산출하다,Her creative approach yielded unexpectedly strong results for the campaign.
zone,집중하다,He zoned in on the most critical tasks each morning before checking messages.
abundance,풍부함,There is an abundance of research supporting the benefits of regular breaks.
accessible,접근하기 쉬운,The new platform is designed to be accessible to users of all skill levels.
accountable,책임지는,She held herself accountable for the team's performance during the quarter.
accurate,정확한,The model produced accurate predictions when tested against real world data.
acknowledge,받아들이다,He acknowledged the limitations of the study in the final section of the report.
action,행동하다,She turned her ideas into action by starting the project the very same day.
adaptable,융통성 있는,Being adaptable is one of the most valued traits in a fast-changing workplace.
adequate,충분한,She ensured that all team members had adequate resources to complete their tasks.
adhere,고수하다,He adhered strictly to the project timeline despite several unexpected challenges.
advance,진전시키다,She advanced her career by consistently seeking new challenges and responsibilities.
advocate,지지자가 되다,He became a strong advocate for using data to guide all business decisions.
allocate,책정하다,She allocated more time for testing after noticing several recurring errors.
ambitious,포부가 있는,He set ambitious goals but always backed them up with a clear action plan.
analytical,분석적인,Her analytical approach helped the team uncover trends that were not visible before.
anticipate,대비하다,She anticipated the client's needs and prepared answers before the meeting.
applicable,적용 가능한,The lessons learned are applicable to a wide range of business situations.
apply,쓰다,He applied his knowledge of data science to improve the company's sales forecast.
appropriate,알맞은,She chose an appropriate tone for the email given the sensitive nature of the topic.
articulate,조리 있게 말하다,He articulated the problem so clearly that everyone agreed on the solution quickly.
aspire,바라다,She aspires to build a company that makes a meaningful difference in people's lives.
assemble,조립하다,He assembled all the required documents before attending the legal consultation.
assess,살피다,She assessed the situation carefully before deciding how to respond.
attain,획득하다,He attained a level of expertise that took most professionals twice as long.
balance,균형을 잡다,She balanced the needs of individual team members with the overall project goals.
benchmark,비교 기준으로 삼다,He benchmarked the team's output against top performers in the same industry.
bold,과감한,She made a bold decision to completely redesign the product based on user feedback.
capable,능력 있는,He proved himself capable of handling the most demanding projects independently.
challenge,도전하다,She challenged the team to think beyond conventional solutions to the problem.
clarity,명확성,She spoke with clarity ensuring that every point was understood by the audience.
collaborate,함께 일하다,He collaborated effectively with remote teams across different time zones.
commitment,약속,Her commitment to delivering quality work was recognized at the annual review.
competence,역량,She demonstrated exceptional competence in managing a high-pressure product launch.
competitive,경쟁력 있는,He built a competitive edge by developing skills that were rare in the industry.
complex,복잡한,She managed a highly complex project with multiple teams and tight deadlines.
comprehensive,포괄적인,He prepared a comprehensive briefing document for the new team members.
confident,확신하는,She spoke confidently even when presenting to a much larger audience than usual.
consistent,한결같은,He maintained consistent quality across all stages of the product development.
constructive,건설적인,She gave constructive criticism that helped the writer improve significantly.
contribute,이바지하다,He contributed meaningfully to each stage of the project from planning to delivery.
credible,믿음직한,A credible recommendation backed by evidence is far more persuasive than opinion.
critical,핵심적인,She played a critical role in securing the company's most important contract.
customize,개인화하다,He customized each presentation to match the expectations of different clients.
decisive,결단력 있는,She was decisive under pressure which helped the team move forward quickly.
dedicated,전념하는,He was dedicated to mastering his craft and spent evenings studying new methods.
dependable,의지할 수 있는,She is known as one of the most dependable members of the entire department.
determined,굳게 결심한,He was determined to complete the certification regardless of the difficulty.
develop,개발하다,She developed a training module that reduced onboarding time by half.
diligent,성실한,He is diligent in following up with clients and never lets an email go unanswered.
discipline,훈련하다,She disciplined herself to review her work each morning before starting new tasks.
diverse,다양성 있는,A diverse range of perspectives led to more creative and effective solutions.
dynamic,역동적으로 변하는,The industry is highly dynamic so she makes it a priority to stay constantly updated.
effective,실질적인,He developed an effective system for managing his team's tasks and priorities.
efficient,효율적으로 일하는,She found a more efficient route through the workflow that saved two hours weekly.
elaborate,자세히 풀어 말하다,He elaborated on his point after noticing some confusion among the audience.
empower,권한을 주다,She empowered her team to make decisions independently within their areas.
encourage,북돋우다,He encouraged team members to share ideas without fear of criticism.
engage,몰두하다,She engaged deeply with the project and produced work that exceeded expectations.
establish,세우다,He established a clear set of guidelines for how the team communicates externally.
ethical,도덕적인,Making ethical choices even when difficult is a cornerstone of good leadership.
evaluate,평가하다,She evaluated the team's performance fairly using a consistent rubric.
evolve,변화하다,The product strategy has evolved considerably based on feedback received from users.
exceed,넘어서다,He exceeded the sales target for three consecutive quarters in a row.
execute,수행하다,She executed the project plan with precision and kept all stakeholders informed.
exhibit,나타내다,He exhibited remarkable patience when dealing with a particularly difficult client.
facilitate,이끌다,She facilitated the workshop in a way that made every participant feel comfortable.
flexible,신축성 있는,He offered flexible deadlines to team members while still meeting the final target.
focused,초점이 맞는,She remained focused on the long-term goal even when short-term results were slow.
foster,기르다,He fostered a supportive team culture where collaboration was the norm.
generate,불러일으키다,She generated enthusiasm for the project by presenting an inspiring vision to all.
genuine,참된,His genuine interest in the client's success made him a trusted long-term partner.
govern,관리하다,Clear principles help govern how the organization makes important decisions.
guide,지도하다,She guided the team through uncertainty by communicating the strategy clearly.
highlight,강조하다,He highlighted the most valuable insights from the research in his final summary.
implement,실행에 옮기다,She implemented the new system smoothly with minimal disruption to daily operations.
improve,개선하다,He improved team collaboration by introducing regular peer feedback sessions.
independent,자립적인,She was an independent thinker who questioned assumptions and proposed new ideas.
initiative,솔선,He showed great initiative by identifying a problem and presenting a ready solution.
innovative,혁신적인,Her innovative approach to marketing helped the brand reach a much wider audience.
inspire,고무시키다,He inspired everyone around him through his passion and relentless commitment.
integrate,포함하다,She integrated user research insights into every stage of the design process.
leadership,리더십,He showed strong leadership by staying calm and clear-headed during the crisis.
leverage,최대한 활용하다,She leveraged her deep industry knowledge to negotiate a significantly better contract.
logical,이치에 맞는,He presented a logical sequence of steps that made the complex process easy to follow.
maximize,최대화하다,She maximized the team's output by removing unnecessary meetings from the schedule.
mentor,멘토링하다,He mentored a young employee who later became one of the company's top performers.
proactive,능동적인,She took a proactive approach to identifying risks long before they became problems.
resilient,탄력적인,He proved to be resilient in the face of setbacks and kept the team moving forward.
strategic,전략적인,She made a strategic choice to enter a niche market before it became competitive.
transparent,솔직한,He was transparent about the challenges which helped rebuild trust with the team.
versatile,다재다능한,She is a versatile communicator equally comfortable in writing and public speaking.
worthwhile,할 보람이 있는,She found the extra preparation worthwhile when the presentation went smoothly.
yield,이끌어 내다,His patient approach yielded a much stronger outcome than anyone expected.
zone,영역,She created a dedicated zone for deep work by blocking out her mornings.
accomplish,완수하다,He accomplished everything on his list well before the end of the working day.
accumulate,모으다,She accumulated a strong portfolio of work during her three years at the firm.
acknowledge,고마워하다,He acknowledged the team's efforts publicly at the company-wide meeting.
