text,description,explanation
physical,신체적인,Regular physical activity is essential for maintaining good health.
plan,계획하다,She planned every detail of the trip weeks in advance.
policy,정책,The new policy requires all staff to work from the office.
potential,잠재적인,She has the potential to become an excellent project manager.
practice,연습하다,He practices speaking English with native speakers online daily.
precise,정확한,The measurements need to be precise for the experiment to work.
present,발표하다,She presented her research findings to the entire department.
pressure,압박,He worked well under pressure and always met his deadlines.
prior,이전의,Prior experience in customer service is required for the role.
process,처리하다,The bank processed his loan application within five business days.
professional,전문적인,She always maintains a professional attitude in the workplace.
profit,이익,The company made a significant profit during the last quarter.
progress,진전하다,He is progressing well in his language learning journey.
project,계획하다,The team projected steady growth over the next two years.
proper,적절한,Proper planning prevents poor performance in any project.
protect,보호하다,She protected her files by setting a strong password.
prove,증명하다,He proved that the new method was faster and more effective.
provide,제공하다,The organization provides free meals to children in need.
quality,품질,She never compromises on the quality of her finished work.
question,질문하다,He questioned the accuracy of the data in the report.
reach,도달하다,She reached her target within the first quarter of the year.
react,반응하다,He reacted calmly when he heard the unexpected news.
realistic,현실적인,She set realistic goals that she could actually achieve.
record,기록하다,He recorded the meeting for those who could not attend.
refer,참조하다,She referred to the manual when setting up the new device.
reflect,반성하다,He reflected on his mistakes and tried to improve afterward.
register,등록하다,She registered for the online course before the deadline.
regulate,규제하다,The government regulates how businesses handle customer data.
reinforce,강화하다,Positive feedback reinforces good habits in the workplace.
reject,거부하다,The committee rejected the proposal due to budget constraints.
relevant,관련 있는,Make sure your examples are relevant to the main topic.
reliable,신뢰할 수 있는,She is known for being reliable and always keeping her word.
represent,대표하다,He represents the company at international trade events.
reserve,예약하다,She reserved a table at the restaurant for six people.
responsibility,책임,Taking responsibility for your actions is a sign of maturity.
restrict,제한하다,The doctor restricted his diet to reduce his blood pressure.
result,결과,The result of the experiment confirmed the original hypothesis.
retain,유지하다,She retained all the key employees after the company merger.
reveal,드러내다,The investigation revealed several flaws in the original plan.
revise,수정하다,He revised his essay three times before submitting the final draft.
reward,보상하다,The company rewards employees who consistently exceed expectations.
route,경로,She chose the scenic route for the long weekend road trip.
scale,확장하다,The startup plans to scale its operations to three new cities.
secure,확보하다,She secured funding for the project from two major investors.
seek,찾다,He is seeking a position that offers both growth and flexibility.
sequence,순서를 정하다,She sequenced the tasks logically to improve the workflow.
significant,중요한,The results showed a significant improvement in overall performance.
simplify,단순화하다,He simplified the process so that new employees could follow it.
simulate,시뮬레이션하다,The software simulates real-world traffic conditions for testing.
situation,상황,She handled the difficult situation with grace and professionalism.
skill,기술,He developed strong communication skills through years of practice.
source,출처,Always cite the source when using information from the internet.
specify,명시하다,She specified the exact requirements before the project started.
stable,안정적인,The economy remained stable despite global uncertainty last year.
standard,기준,The company sets high standards for quality and customer service.
strategy,전략,She developed a clear strategy to grow the team's performance.
structure,구조,A well-organized structure makes any document easier to read.
subject,주제,The subject of the documentary was ocean conservation and wildlife.
submit,제출하다,He submitted the final version of the report before noon.
sufficient,충분한,Make sure you have sufficient time to review your work carefully.
suitable,적합한,This type of clothing is suitable for both formal and casual occasions.
survey,조사하다,She surveyed one hundred customers to gather honest feedback.
task,과제,He completed every task on the list before the meeting started.
technical,기술적인,The manual contains detailed technical instructions for installation.
tendency,경향,She has a tendency to overthink before making important decisions.
thorough,철저한,He conducted a thorough review of all the submitted applications.
timeline,일정,The project timeline was adjusted after an unexpected delay occurred.
topic,주제,She introduced an interesting topic during the team discussion.
tradition,전통,The company has a long tradition of celebrating employee milestones.
transfer,전달하다,He transferred the important files to the backup server immediately.
trend,트렌드,The latest trend in the industry is using more sustainable materials.
typical,전형적인,A typical workday at the company begins with a brief team check-in.
ultimate,궁극적인,Her ultimate goal is to open her own design studio someday.
unique,독특한,Her design style is unique and instantly recognizable by clients.
urgent,긴급한,He sent an urgent message to the team about the deadline change.
utilize,활용하다,She utilized every available resource to complete the assignment.
valid,유효한,Please make sure your passport is valid before booking the trip.
value,가치를 두다,She values honesty and clear communication above everything else.
visible,눈에 보이는,The results of her hard work became visible within a few weeks.
vision,비전,The new director brought a fresh vision to the company's future.
volume,양,The volume of applications received this year was surprisingly high.
vulnerable,취약한,Young children are especially vulnerable to changes in temperature.
widespread,광범위한,The use of smartphones has become widespread across all age groups.
willing,기꺼이 하는,He is willing to take on extra work to help the team succeed.
withdraw,철회하다,She withdrew her complaint after the issue was fully resolved.
yield,산출하다,The new farming method yields twice as much as the old one.
zone,구역,The construction zone will be closed to the public until next month.
adjacent,인접한,The café is adjacent to the main entrance of the office building.
allocate,배정하다,Resources were allocated fairly across all departments this quarter.
ambiguous,모호한,The instructions were ambiguous so she asked for clarification.
appropriate,적절한,It is appropriate to dress formally for a job interview.
approximate,대략적인,The approximate cost of the renovation is five million won.
array,배열,She arranged the items in an array from smallest to largest.
aspect,측면,She considered every aspect of the problem before making a decision.
authority,권한,He was given the authority to approve requests under one million.
capable,유능한,She is highly capable of managing a large team independently.
capture,잡아내다,She captured the attention of the audience from the very first slide.
celebrate,축하하다,He celebrated each small milestone to keep the team motivated.
clarify,밝히다,She clarified her position clearly during the question and answer session.
detail,세세하게 다루다,He detailed every step in the manual so new users could follow easily.
