text,description,explanation
raise,올리다,She raised her hand to ask a question in class.
recognize,인식하다,He recognized the voice on the phone immediately.
recommend,추천하다,She recommended a great book about leadership.
recover,회복하다,He recovered quickly after his surgery last month.
reduce,줄이다,She reduced her coffee intake to one cup a day.
reflect,반영하다,The report reflects the team's hard work this year.
reject,거절하다,He rejected the offer because the salary was too low.
relate,관련짓다,She related her experience to help the new students.
release,출시하다,The company released a new version of the software.
remain,남다,Only a few seats remain for the evening concert.
remove,제거하다,He removed the old paint before applying a new coat.
repair,수리하다,She repaired the broken chair in the living room.
require,필요로 하다,The job requires at least three years of experience.
research,연구하다,He researched the topic for several weeks before writing.
resolve,해결하다,She resolved the conflict between two team members.
respond,응답하다,He responded to all emails before leaving the office.
reveal,밝히다,She revealed the surprise at the end of the party.
rise,오르다,The price of vegetables rises every winter season.
risk,위험을 감수하다,He risked his savings to start a new business.
satisfy,만족시키다,The new menu satisfied most of the regular customers.
save,절약하다,She saved money by cooking at home every day.
select,선택하다,He selected the best candidate after a long interview.
separate,분리하다,She separated the recyclables from the regular trash.
share,공유하다,He shared his notes with classmates before the exam.
solve,해결하다,She solved the math problem in under two minutes.
sort,분류하다,He sorted the documents by date and category.
spend,소비하다,She spends most of her weekends hiking in the mountains.
state,진술하다,He stated his opinion clearly during the discussion.
store,저장하다,She stores all her files in an organized folder system.
strengthen,강화하다,Regular exercise helps to strengthen your immune system.
struggle,애쓰다,He struggled to finish the project before the deadline.
submit,제출하다,She submitted the application form two days early.
succeed,성공하다,He succeeded in passing the difficult certification exam.
summarize,요약하다,She summarized the meeting notes for the whole team.
supply,공급하다,The store supplies fresh produce to local restaurants.
support,지지하다,His parents supported his decision to study abroad.
survive,살아남다,The plant survived the cold winter without much water.
suspect,의심하다,She suspected that something was wrong with the plan.
sustain,유지하다,He sustained his motivation throughout the long project.
target,목표로 하다,The campaign targeted young adults between twenty and thirty.
tend,경향이 있다,She tends to arrive early for every appointment.
transfer,이동시키다,He transferred to a new department within the company.
transform,변환하다,She transformed the empty room into a cozy workspace.
treat,다루다,He always treats his coworkers with respect and kindness.
undergo,겪다,She underwent training before starting her new position.
understand,이해하다,He finally understood the concept after several examples.
update,업데이트하다,She updated the spreadsheet with the latest sales figures.
use,사용하다,He uses public transportation to commute to work daily.
vary,다양하다,The difficulty of the tasks varies from day to day.
verify,확인하다,She verified the information before publishing the article.
waste,낭비하다,He tries not to waste food or electricity at home.
weigh,무게를 재다,She weighed all the options before making her decision.
withdraw,철회하다,He withdrew his application after receiving another offer.
witness,목격하다,She witnessed a car accident on her way to work.
worth,가치 있는,The new experience was definitely worth the effort and time.
abandon,포기하다,He abandoned the project halfway through due to budget issues.
absolute,절대적인,She has absolute confidence in her team's abilities.
abstract,추상적인,The painting has a very abstract style that confuses many.
access,접근하다,He accessed the database using his security password.
account,설명하다,She accounted for every expense in the monthly report.
accuse,고발하다,He was accused of making errors in the financial report.
acquire,습득하다,She acquired new skills during her time working abroad.
activate,활성화하다,He activated his new credit card over the phone.
address,다루다,The manager addressed the team's concerns in the meeting.
adequate,충분한,Make sure you get adequate sleep before the big exam.
advance,발전하다,Technology continues to advance at a rapid pace today.
advertise,광고하다,The company advertised its new product on social media.
advocate,지지하다,She advocates for better working conditions in her industry.
allocate,할당하다,He allocated extra time for revision before the final exam.
alter,변경하다,She altered her schedule to fit the new meeting time.
anticipate,예상하다,He anticipated a large crowd at the opening event.
appeal,호소하다,The advertisement appealed to young and creative audiences.
appreciate,감사히 여기다,She appreciated the feedback given by her senior colleagues.
approach,접근하다,He approached the problem with a calm and logical mindset.
approve,승인하다,The manager approved the budget for the new project.
assess,평가하다,She assessed the risks before launching the new product.
assume,가정하다,He assumed that the meeting would end before noon.
assure,확신시키다,She assured her team that everything was under control.
authorize,승인하다,He authorized the payment after reviewing all the details.
awareness,인식,Public awareness of environmental issues has increased recently.
base,기반을 두다,Her argument was based on solid research and evidence.
benefit,이익을 얻다,Regular reading benefits both vocabulary and comprehension skills.
boost,향상시키다,A good breakfast boosts your energy for the whole morning.
bother,귀찮게 하다,The loud noise bothered everyone in the office all day.
brief,간략히 설명하다,She briefed the team on the changes before the client arrived.
calculate,계산하다,He calculated the total cost before placing the order.
capture,포착하다,The photographer captured a beautiful moment at sunrise.
challenge,도전하다,She challenged herself to learn a new skill each month.
classify,분류하다,He classified the books by topic and publication year.
collaborate,협력하다,The two teams collaborated to finish the project on time.
commit,전념하다,She committed herself fully to the new fitness program.
compensate,보상하다,The company compensated employees for the extra hours worked.
concentrate,집중하다,He concentrated on one task at a time to stay productive.
conclude,결론 짓다,She concluded the presentation with a strong call to action.
conduct,수행하다,He conducted a survey to gather feedback from customers.
conflict,갈등이 생기다,He resolved a conflict between two departments through open dialogue.
context,문맥,She provided context before explaining the main point of the research.
coordinate,조율하다,He coordinated efforts across three teams to meet the launch deadline.
contribute,기여하다,She contributed valuable ideas during the planning session.
cope,대처하다,He coped with the increased workload by prioritizing his tasks.
