text,description,explanation
shortage,부족,There was a shortage of materials that delayed the entire project.
signal,신호를 보내다,She signaled the team that it was time to wrap up the discussion.
solution,해결책,He proposed an elegant solution to a problem the team had struggled with.
specify,구체적으로 말하다,She specified the exact format required for the final submission.
staff,직원들,All staff members were invited to attend the annual company retreat.
stakeholder,이해관계자,She presented the update to all key stakeholders at the quarterly review.
standard,표준,The new standard ensures that all products meet consistent quality levels.
statement,진술,She prepared a clear statement to explain the company's position.
status,상태,He checked the status of the shipment before contacting the supplier.
strategic,전략적인,She made a strategic decision to focus on one market segment at a time.
strengthen,강화하다,He took courses to strengthen his analytical and presentation skills.
structure,구성하다,She structured the report to guide readers through the key findings clearly.
succeed,성공하다,He succeeded in turning a struggling team into a high-performing one.
summary,요약,She prepared a brief summary of the meeting for those who could not attend.
supplement,보완하다,He supplemented his income by freelancing on evenings and weekends.
survey,설문조사,The company conducted a survey to measure overall employee satisfaction.
sustain,지속하다,She sustained her focus throughout the long and demanding project.
systematic,체계적인,He developed a systematic approach to solving complex technical problems.
target,목표로 하다,She targeted a specific group of customers with the new advertising campaign.
technique,기법,He learned a new technique for presenting data in a more visual way.
temporary,일시적인,The delay was only temporary and did not affect the overall timeline.
tension,긴장감,There was some tension between the two teams about resource allocation.
thorough,철저히 하는,She was thorough in her research and checked every source carefully.
transparent,투명한,Being transparent about challenges builds trust with your team members.
trend,경향,She closely monitors industry trends to anticipate changes in the market.
ultimate,최종적인,His ultimate ambition is to lead a major international organization.
uniform,균일한,A uniform approach ensures that all customers receive the same experience.
unique,유일한,Her ability to think creatively is what makes her approach truly unique.
update,최신 상태로 유지하다,She keeps her skills updated by attending workshops and online courses.
urgent,긴급한,He flagged the issue as urgent and requested an immediate response.
utilize,사용하다,The team utilized new software to streamline the reporting process.
validate,검증하다,She validated the findings by cross-referencing multiple data sources.
variety,다양성,She introduced a variety of teaching methods to keep students engaged.
verify,검증하다,He verified the accuracy of the report before presenting it to the board.
vision,시각,She shared her long-term vision with the team at the annual planning retreat.
vital,매우 중요한,Clear communication is vital to the success of any collaborative project.
volume,규모,The volume of customer inquiries increased sharply after the product launch.
voluntary,자발적인,Participation in the mentoring program is entirely voluntary for all staff.
workplace,직장,She promotes a respectful and inclusive culture in the workplace.
worldwide,전 세계적으로,The product is now available worldwide through the company's online store.
abstract,추상적으로 생각하다,She can think abstractly which helps her develop innovative solutions.
accommodate,수용하다,The hotel was able to accommodate all the guests despite the late booking.
accumulate,축적하다,He accumulated enough savings over five years to start his own business.
accurate,정밀한,Her report was accurate and well-supported by data from multiple sources.
achieve,이루다,She achieved her goal of becoming fluent in a second language within two years.
acknowledge,인정하다,He acknowledged the team's hard work at the end of the project.
activate,작동시키다,She activated the new feature before the system update went live.
adapt,맞추다,He adapted his communication style depending on the audience he was addressing.
add,추가하다,She added several new items to the agenda before the meeting began.
adequate,적절한,The budget provided was adequate for completing the first phase of the project.
adhere,따르다,All team members are expected to adhere to the company code of conduct.
adjust,적응하다,She adjusted her approach after receiving feedback from the focus group.
advance,앞서 나가다,The company is advancing quickly in its development of new technologies.
advocate,옹호하다,She advocates strongly for better mental health support in the workplace.
affect,영향을 주다,The restructuring affected the daily routines of nearly all department heads.
affirm,확언하다,He affirmed his commitment to the project during the team review session.
agenda,의제,She circulated the agenda before the meeting so everyone could prepare.
agree,합의하다,Both parties agreed on the main terms before drafting the final contract.
align,일치시키다,She aligned the team's individual goals with the broader company objectives.
allocate,배분하다,The manager allocated specific roles to each member of the project team.
alternative,대안,He offered an alternative solution when the original plan failed to work.
ambitious,야심찬,She set ambitious targets for the year and exceeded most of them.
analyze,분석하다,He analyzed the customer feedback carefully before revising the product.
annual,연간의,She attends the annual industry conference to stay updated on new trends.
anticipate,예측하다,She anticipated potential delays and built extra time into the project plan.
apply,적용하다,He applied the lessons from the training directly to his daily work routine.
approach,방식,Her approach to problem-solving is both creative and highly methodical.
approve,찬성하다,The board approved the expansion plan after a lengthy discussion.
articulate,명확히 표현하다,She articulated her vision in a way that inspired the whole team.
aspire,열망하다,He aspires to lead a team that creates products used by millions of people.
assemble,모으다,She assembled a team of experts from three different departments.
assign,맡기다,He assigned the most complex tasks to the most experienced team members.
assist,지원하다,She assisted the new intern with understanding the company's internal systems.
assume,추정하다,He assumed the role of team leader when the manager went on leave.
attain,달성하다,She attained a high level of proficiency in data visualization tools.
attend,참여하다,He attended every training session offered by the company this quarter.
attitude,태도,A positive attitude can greatly influence the outcome of a difficult situation.
attribute,귀속시키다,She attributed the team's success to open communication and shared goals.
authority,권위,He spoke with authority on the subject having studied it for over ten years.
automate,자동화하다,The company automated its invoicing process to save time and reduce errors.
aware,인식하는,She became more aware of her strengths after completing the self-assessment.
balance,균형 잡다,He balanced multiple deadlines without compromising the quality of his work.
benchmark,기준점으로 삼다,She benchmarked the company's performance against industry leaders worldwide.
benefit,혜택을 받다,Employees benefit from the flexible working hours introduced last month.
budget,예산을 세우다,He budgeted carefully to ensure the project stayed within the approved costs.
capability,역량,The team demonstrated strong capability in managing complex client projects.
catalyst,촉매,The new manager acted as a catalyst for positive change within the department.
champion,지지하다,She championed the idea of a four-day workweek and eventually won approval.
clarify,분명히 하다,He clarified the key points before the audience had time to become confused.
collaborate,공동 작업하다,She collaborated with the design team to create a new brand identity.
commit,약속하다,He committed to delivering the project on time despite the late start.
communicate,전달하다,She communicated the changes clearly to avoid any misunderstanding.
competent,유능한,He is highly competent in managing client relationships across cultures.
competitive,경쟁적인,The company offers a competitive salary to attract top talent globally.
complete,마치다,She completed all the required certifications before the end of the year.
complex,복잡한,The project involved several complex dependencies that required careful planning.
comply,준수하다,She complied with all regulations before releasing the product.
confirm,재확인하다,He confirmed the schedule with every participant the day before.
consider,따져보다,She considered several options before selecting the final design.
contain,담다,He contained the issue before it could affect the rest of the team.
