text,description,explanation
justify,합당하다,She justified the additional cost by presenting the long-term return on investment.
launch,내놓다,He launched the new initiative with the full support of senior leadership.
lead,앞서가다,She led the team through a difficult transition with confidence and clarity.
leverage,레버리지를 쓰다,He leveraged the team's diverse skills to deliver a comprehensive solution.
limit,한정하다,She limited the meeting to thirty minutes to keep everyone focused.
listen,경청하다,He listened carefully to understand the client's needs before proposing anything.
logical,논리에 맞는,Her argument was logical and well-structured making it easy to follow.
maintain,지속하다,She maintained excellent client relationships throughout the duration of the project.
manage,담당하다,He managed the budget carefully to avoid overspending on non-essential items.
maximize,극대화하다,She maximized the impact of the campaign by targeting the right audience.
measure,가늠하다,He measured the success of the campaign using clearly defined metrics.
mediate,중재하다,She mediated between the two departments to reach a fair agreement.
mentor,지도하다,He mentored several junior staff members throughout his tenure at the company.
minimize,최소한으로 줄이다,She minimized the environmental impact of the event through careful planning.
modify,변형하다,He modified the original design based on feedback from the focus group.
monitor,추적하다,She monitored the progress of each team member on a weekly basis.
motivate,격려하다,He motivated the team by sharing the positive feedback received from clients.
negotiate,절충하다,She negotiated a better deal by presenting a well-researched counteroffer.
observe,주목하다,He observed patterns in the data that led to a breakthrough in the research.
obtain,확보하다,She obtained the necessary approvals before proceeding with the next phase.
operate,작동시키다,He operated the new equipment after completing the required safety training.
optimize,최적화하다,She optimized the workflow to reduce processing time by thirty percent.
organize,운영하다,He organized a series of workshops to improve team collaboration skills.
outline,개략을 설명하다,She outlined the main objectives before distributing tasks to the team.
oversee,감독하다,He oversaw the construction of the new office building from start to finish.
participate,가담하다,She participated actively in every stage of the product development process.
partner,협력하다,He partnered with an external agency to strengthen the company's marketing.
perceive,느끼다,She perceived the change in team morale well before it affected performance.
perform,실시하다,He performed a detailed audit of the company's financial records last week.
plan,입안하다,She planned the project timeline with enough flexibility to manage unexpected delays.
position,자리매김하다,He positioned the brand as a premium option in a crowded market.
present,발표하다,She presented the quarterly results to the board with confidence and clarity.
prevent,막다,He took early action to prevent the issue from escalating into a larger problem.
prioritize,우선순위를 정하다,She prioritized the tasks that would have the greatest impact on the outcome.
proactive,주도적인,He adopted a proactive approach to identifying potential risks in the project.
process,다루다,She processed hundreds of applications within a single working week.
produce,낳다,He produced a detailed report that answered all of the client's questions.
