text,description,explanation
compose,구성하다,She composed a detailed email addressing all of the client's concerns.
compress,압축하다,He compressed the large file before attaching it to the email.
concentrate,집중시키다,She concentrated all her energy on finishing the most critical task first.
concept,개념,He explained the concept using a simple diagram that everyone understood.
concise,간결한,Her writing is always concise and gets straight to the point every time.
confront,맞서다,She confronted the issue directly instead of letting it grow into a bigger problem.
connect,관련시키다,He connected the new idea to existing research to strengthen his argument.
consent,동의하다,All participants must consent to the terms before joining the study.
conserve,보존하다,The company took steps to conserve energy across all of its facilities.
consider,심사숙고하다,She considered all the implications before agreeing to the partnership.
consolidate,통합하다,He consolidated all the reports into a single comprehensive document.
construct,만들다,She constructed a clear argument supported by facts and real examples.
consult,상담하다,He consulted with the legal team before signing the final agreement.
contain,포함하다,The report contains detailed analysis of the quarterly financial performance.
contribute,공헌하다,She contributed her expertise to help the team solve a difficult technical challenge.
control,제어하다,He controlled the pace of the presentation to keep the audience engaged.
convert,전환하다,She converted the old file format into one compatible with the new system.
convey,전달하다,He conveyed his ideas clearly through the use of visuals and examples.
cooperate,협동하다,The departments cooperated closely to ensure a smooth product rollout.
coordinate,조정하다,She coordinated all the logistics for the three-day international conference.
counterpart,상대방,She met with her counterpart from the partner company to discuss the deal.
creative,창조적인,He brought a creative approach to solving problems that inspired others.
credible,신뢰할 수 있는,A credible source of information is essential when writing a research report.
crisis,위기,The team handled the crisis quickly and prevented any lasting damage.
critical,비판적인,She offered critical feedback that helped improve the quality of the report.
customize,맞춤화하다,He customized the template to match the client's specific brand guidelines.
deadline,기한,She always submits her work ahead of the deadline to allow time for review.
delegate,위임하다,He delegated smaller tasks to junior team members to focus on strategy.
demonstrate,증명하다,She demonstrated her expertise by solving the complex problem efficiently.
develop,발전시키다,He developed a detailed plan before presenting it to the leadership team.
differentiate,차별화하다,She differentiated her product from competitors by focusing on quality.
diligent,부지런한,She is a diligent worker who never leaves a task unfinished.
discipline,규율을 지키다,He disciplined himself to follow a strict schedule during the busy season.
discover,찾아내다,She discovered an error in the spreadsheet that would have affected the results.
discuss,논의하다,He discussed the budget concerns with the finance team before the presentation.
diverse,다양한,A diverse team brings many different perspectives to problem-solving situations.
document,문서화하다,She documented every step of the process to help future team members.
dominant,우세한,She became the dominant voice in the meeting due to her expertise.
draft,초안을 잡다,He drafted a clear and structured outline before writing the full proposal.
drive,이끌다,She drives the team toward ambitious goals through clear vision and support.
durable,내구성이 있는,The new packaging was designed to be durable during long-distance shipping.
efficient,능률적인,She found a more efficient method for processing the weekly sales reports.
elaborate,자세히 설명하다,He elaborated on his idea when the team asked for more detail.
emphasize,역설하다,She emphasized the importance of meeting each milestone on time.
enable,할 수 있게 하다,The new software enables employees to collaborate from different time zones.
encourage,장려하다,He encouraged his team to experiment with new ideas without fear of failure.
enforce,강제하다,She enforced the new policy firmly to ensure consistent compliance.
engage,관여하다,He engaged the audience by asking questions throughout the presentation.
enhance,강화하다,She enhanced the design to make it more accessible to a wider audience.
ensure,확실히 하다,He ensured all documents were proofread before sending them to the client.
establish,확립하다,She established a clear process for onboarding new team members efficiently.
evaluate,검토하다,He evaluated each proposal carefully before making a recommendation.
evolve,발전하다,The project evolved significantly as the team gathered more user feedback.
exceed,상회하다,She consistently exceeded her targets throughout the entire financial year.
execute,집행하다,He executed the strategy flawlessly despite the many obstacles along the way.
exhibit,보여주다,She exhibited strong leadership qualities throughout the entire project lifecycle.
expand,늘리다,He expanded the team from three to ten people over the course of a year.
expect,예상하다,She expected strong results after the months of preparation and planning.
experience,경험하다,He experienced firsthand the challenges of leading a remote team globally.
experiment,실험하다,She experimented with different formats before settling on the final design.
explain,해명하다,He explained the delay clearly and offered a revised timeline for completion.
facilitate,용이하게 하다,She facilitated the brainstorming session to help the team generate ideas.
finalize,마무리 짓다,He finalized the contract terms after several rounds of detailed negotiation.
focus,초점을 맞추다,She focused the discussion on the most urgent priorities for the quarter.
forecast,예보하다,He forecasted a ten percent increase in revenue for the following quarter.
formulate,공식화하다,She formulated a comprehensive strategy based on three months of research.
foster,육성하다,He fostered a culture of innovation and continuous learning in his team.
framework,틀,She created a clear framework for the team to use when evaluating proposals.
fulfill,이행하다,He fulfilled all the requirements of his contract well ahead of the deadline.
gather,수집하다,She gathered feedback from twenty clients before redesigning the process.
generate,만들어 내다,The workshop generated over fifty new ideas for the product development team.
global,전세계의,She manages a global team spread across seven different time zones.
govern,통치하다,Clear rules help govern how decisions are made within a large organization.
guide,안내하다,She guided the new team members through the entire onboarding process.
handle,취급하다,He handled every customer complaint with patience and professionalism.
highlight,두드러지게 하다,She highlighted the key benefits of the proposal at the start of her talk.
hire,채용하다,The company hired twenty new engineers to support the growing workload.
identify,파악하다,She identified three major risks in the proposal that needed to be addressed.
impact,결과를 낳다,The new strategy impacted team performance positively within the first month.
implement,실시하다,He implemented the feedback from the pilot program before the full launch.
improve,발전시키다,She improved the process by removing unnecessary steps that wasted time.
increase,늘리다,He increased the team's efficiency by introducing a new project management tool.
indicate,보여주다,The data indicates a clear upward trend in customer satisfaction scores.
influence,끼치다,She influenced the team's direction with her clear and compelling vision.
inform,통지하다,He informed the stakeholders of every major decision made during the project.
innovate,혁신을 이루다,She encouraged the team to innovate rather than follow the existing processes.
integrate,통합하다,He integrated the new tools into the existing workflow without disrupting the team.
invest,쏟다,She invested considerable effort into building strong relationships with her clients.
involve,연루시키다,He involved the entire team in the decision to ensure everyone felt heard.
issue,발급하다,The government issued new guidelines for businesses operating online.
justify,충분한 이유를 대다,He justified the decision by pointing to the data collected over six months.
keep,지키다,She kept her composure even when the client raised unexpected objections.
know,파악하다,He knows exactly what motivates each person on his team.
launch,개시하다,She launched the awareness campaign two weeks before the product release.
lead,이끌어 나가다,He led the discussion in a structured way that kept everyone focused.
listen,듣다,She listened attentively and took notes throughout the entire meeting.
locate,찾다,He located the source of the error after reviewing the log files carefully.
manage,맡아 처리하다,She managed multiple client accounts simultaneously without missing a deadline.
map,계획하다,He mapped out the entire workflow before assigning tasks to the team.
measure,재다,She measured the effectiveness of each training module using test results.
