text,description,explanation
capacity,수용 능력,The hall has a maximum capacity of three hundred people.
category,범주,She sorted the applications into three main categories.
circumstance,상황,Under the circumstances she made the best possible decision.
clarify,명확히 하다,He clarified the instructions so everyone understood the task.
comment,의견을 말하다,She commented on the design and suggested a few small changes.
commission,의뢰하다,The client commissioned a painting for their new office lobby.
commitment,헌신,Her commitment to quality work is recognized by the entire team.
community,공동체,She volunteers regularly to give back to her local community.
component,구성 요소,Every component of the machine must be checked before use.
comprehend,이해하다,He comprehended the complex concept after reading it twice.
comprehensive,포괄적인,She gave a comprehensive overview of the project at the meeting.
concern,걱정하다,He was concerned about the quality of the data collected.
condition,조건,The job offer comes with several conditions attached to it.
conference,회의,She presented her research at an international conference abroad.
confident,자신 있는,He felt confident after practicing his speech many times.
conflict,갈등,The conflict between the two teams was resolved through mediation.
conscious,의식하는,She became more conscious of her habits after reading the book.
consensus,합의,The team reached a consensus after a long but productive discussion.
constant,끊임없는,His constant efforts eventually led to a major breakthrough.
contact,연락하다,Please contact us if you have any questions about the service.
context,맥락,Understanding the context helps you interpret the message correctly.
contrast,대조하다,She contrasted the two approaches to highlight their differences.
controversy,논란,The new policy sparked controversy among employees and managers.
coordinate,조율하다,He coordinated the schedules of over thirty participants for the event.
core,핵심,Strong communication is at the core of every successful relationship.
corporate,기업의,She attended a corporate training session on leadership last month.
create,만들어내다,He created a simple tool that saved the team hours each week.
creative,창의적인,She brings a creative perspective to every project she works on.
criteria,기준,The selection criteria were clearly explained at the start of the process.
crucial,중요한,It is crucial to double-check your work before submitting anything.
data,데이터,The analyst reviewed all the data before writing the final report.
debate,토론하다,The team debated the pros and cons of the new marketing strategy.
decision,결정,She made a confident decision after carefully weighing all options.
dedicated,헌신적인,He is a dedicated employee who always goes beyond what is expected.
deliberate,신중한,She made a deliberate choice to focus on quality over quantity.
diverse,다양한,The company values a diverse team with a wide range of backgrounds.
division,부서,She was promoted to head of the international division last year.
dynamic,역동적인,The dynamic work environment keeps employees engaged and motivated.
economic,경제적인,The economic impact of the new policy is still being analyzed.
education,교육,She believes that education is the most powerful tool for change.
effective,효과적인,The most effective way to learn is through consistent daily practice.
element,요소,Patience is a key element in any successful learning process.
emphasis,강조,She placed great emphasis on the importance of clear communication.
employee,직원,Every employee received a bonus at the end of the fiscal year.
encourage,용기를 주다,He encouraged his younger colleagues to share their ideas freely.
energy,에너지,She brings a lot of positive energy to every meeting she attends.
enforce,시행하다,The new rules were enforced strictly from the beginning of the month.
engagement,참여,High employee engagement leads to better productivity and retention.
essential,필수적인,Good time management is essential for completing projects on schedule.
ethics,윤리,Business ethics should be a priority in every decision made.
evaluate,평가하다,She evaluated the options carefully before making her final choice.
exceed,초과하다,His performance this quarter exceeded all expectations from management.
exclusive,독점적인,Members enjoy exclusive access to the premium content library.
expand,확장시키다,The business expanded its services to three additional cities this year.
expectation,기대,She exceeded the expectations of both her manager and her clients.
expertise,전문 지식,His expertise in data analysis made him a valuable team member.
explicit,명확한,The contract included explicit terms about delivery times and costs.
exposure,노출,Exposure to different cultures broadens your worldview significantly.
framework,체계,A clear framework helps teams work more efficiently and consistently.
frequency,빈도,The frequency of team meetings increased during the busy season.
fulfill,이행하다,She fulfilled all the requirements for the annual performance review.
generate,창출하다,The new campaign generated a lot of interest from potential clients.
genuine,진정한,His genuine interest in helping others made him a natural leader.
global,글로벌,She has experience working in global markets across three continents.
gradually,서서히,He gradually improved his public speaking skills over several months.
guarantee,보장하다,The company guarantees full satisfaction or a complete refund.
guideline,지침,She followed the guidelines carefully when writing the official report.
handle,처리하다,He handled the complaint professionally and resolved it quickly.
headquarters,본사,The company's headquarters is located in the center of the city.
hierarchy,위계,Understanding the hierarchy helps new employees navigate the workplace.
highlight,두드러지게 하다,She highlighted the most important parts of the document in yellow.
hypothesis,가설,The scientist formed a hypothesis based on the early test results.
ideal,이상적인,An ideal candidate would have both technical skills and experience.
identify,식별하다,She identified the root cause of the problem within the first hour.
immediate,즉각적인,He gave an immediate response to the client's urgent request.
implicit,암묵적인,There was an implicit understanding that overtime was sometimes necessary.
improve,개선하다,She worked hard to improve her presentation style and confidence.
independent,독립적인,He completed the project independently without asking for help.
indicator,지표,Sales volume is a key indicator of a company's overall performance.
industry,산업,She has ten years of experience in the technology industry.
inevitable,불가피한,Some degree of change in any long-term project is inevitable.
influence,영향,She has a positive influence on everyone she works with daily.
infrastructure,인프라,The company is investing heavily in its digital infrastructure this year.
initiative,주도,She took the initiative to organize a training session for the team.
insight,통찰,His insights during the meeting helped shift the team's perspective.
integrate,통합하다,The new system integrates all functions into a single dashboard.
intention,의도,His intention was to simplify the process not to cause more confusion.
internal,내부의,The internal review found several areas that needed immediate attention.
interpret,해석하다,She interpreted the feedback as a request for a more detailed plan.
introduce,도입하다,The company introduced a new system to track employee performance.
investigate,조사하다,He investigated the source of the error before reporting to management.
involve,포함시키다,The renovation project involves redesigning three floors of the building.
judge,평가하다,She judged the proposals based on feasibility and potential impact.
keep,유지하다,He kept detailed records of every client interaction over the year.
know,알고 있다,She knows the industry well enough to anticipate changes early.
link,연결 짓다,He linked his findings to the broader research context in the conclusion.
launch,착수하다,She launched the project with a clear kickoff meeting and shared agenda.
lead,선도하다,He led by example and consistently demonstrated the values of the team.
learn,배우다,She learned from every mistake and grew stronger as a result.
limit,제한을 두다,He limited the scope of the meeting to the three most critical topics.
