text,description,explanation
issue,문제,The main issue was a lack of clear communication between teams.
judgment,판단,She trusted her judgment and made the decision without hesitation.
justify,정당화하다,He justified the extra spending by showing the long-term benefits.
knowledge,지식,She applied her knowledge of the market to develop the strategy.
language,언어,Learning a new language opens many personal and professional doors.
launch,시작하다,The team launched the new product after months of preparation.
leadership,리더십,Strong leadership is essential during periods of organizational change.
legislation,법률,New legislation requires companies to report their carbon emissions.
legitimate,합법적인,She made sure that all the business practices were legitimate.
leverage,활용하다,He leveraged his network to find the right candidate for the role.
logical,논리적인,Her argument was clear and logical making it easy to follow.
loyalty,충성도,Customer loyalty is built through consistent quality and good service.
maintain,유지하다,She maintained regular communication with all her key stakeholders.
majority,다수,The majority of employees supported the new flexible work policy.
manage,운영하다,He managed the entire event with a team of just five people.
manual,설명서,She referred to the manual when setting up the new office printer.
margin,여유,The project was completed with very little time to spare at the margin.
measurable,측정 가능한,Set measurable goals so that you can track your progress clearly.
method,방법,She developed a new method for organizing large amounts of data.
milestone,이정표,Reaching one hundred customers was a major milestone for the startup.
minimize,줄이다,She minimized waste by reusing materials wherever it was possible.
mission,사명,The company's mission is to make quality education accessible to all.
model,모델,He used a simple model to explain a complex financial concept.
monitor,관찰하다,She monitored team performance weekly and shared results with all.
motivate,동기 부여하다,He motivated his team by recognizing individual contributions publicly.
mutual,상호적인,The agreement was built on mutual respect and shared goals.
negotiate,협상하다,She negotiated the contract terms to better protect the company.
neutral,중립적인,He remained neutral during the debate between the two departments.
objective,목표,Her objective was to improve customer satisfaction scores by year end.
obstacle,장애물,He overcame every obstacle and delivered the project on schedule.
obtain,얻다,She obtained approval from management before beginning the renovation.
operate,운영하다,The business operates across five countries in the Asia Pacific region.
opportunity,기회,She saw the challenge as an opportunity to grow and develop skills.
option,선택지,He presented three options and let the team decide which to pursue.
outcome,결과,The outcome of the experiment confirmed the research team's hypothesis.
output,산출물,The team's output this quarter was far higher than the same period last year.
overall,전반적인,Overall the project was a success despite a few early setbacks.
overlap,겹치다,There was some overlap between the two departments in their tasks.
ownership,소유권,Taking ownership of your mistakes is a sign of professional maturity.
pace,속도,She set a comfortable pace for the project to avoid burning out.
partnership,파트너십,The two companies formed a partnership to co-develop new products.
perception,인식,Her perception of the situation changed after hearing the full story.
performance,성과,His performance during the trial period impressed the entire management team.
perspective,관점,She brought a fresh perspective that helped the team solve the problem.
phase,단계,The project will be completed in three phases over the next six months.
platform,플랫폼,The company uses a shared platform to manage client communications.
position,위치,She was promoted to a senior position after two years with the company.
positive,긍정적인,He always maintains a positive attitude even during stressful situations.
precise,정밀한,The engineer needed precise measurements before starting the construction.
preference,선호도,She took note of each client's preferences before making recommendations.
principle,원칙,She never compromises on the core principles that guide her work.
priority,우선순위,She sets clear priorities at the start of each week to stay focused.
procedure,절차,All staff must follow the standard procedure when handling complaints.
productivity,생산성,Remote work has actually improved productivity for many employees.
profile,프로필,She updated her professional profile before applying to new positions.
promote,홍보하다,They promoted the event through social media and local newsletters.
proportion,비율,A large proportion of the budget was allocated to marketing this year.
proposal,제안서,She submitted a detailed proposal for the new community project.
prospect,전망,The economic prospects for next year look cautiously optimistic.
purpose,목적,Understanding the purpose of each task helps you prioritize better.
ratio,비율,The ratio of staff to students is one to fifteen in the program.
realistic,현실적인,She set realistic expectations from the very beginning of the project.
recommend,권고하다,The consultant recommended restructuring the sales team for better results.
record,기록,The company broke its sales record in the final quarter of the year.
recruit,채용하다,She was recruited directly from university by the technology company.
reduce,감소시키다,The new system helped reduce processing time by forty percent overall.
reference,참고하다,He referenced three different studies to support his final argument.
refine,다듬다,She refined her presentation several times before the final delivery.
reform,개혁하다,The organization reformed its internal processes to improve efficiency.
regulate,통제하다,New rules were introduced to better regulate digital advertising practices.
reinforce,재확인하다,The survey results reinforced the need for a clearer communication policy.
relate,연관짓다,She related the concept to real-life examples for better understanding.
release,발표하다,The company released its annual sustainability report earlier this year.
rely,의존하다,He relies on clear data before making any significant business decisions.
replace,대체하다,The software replaced a manual process that had been used for years.
report,보고하다,She reports directly to the regional director based in Singapore.
resolve,해결하다,He resolved the dispute quickly and with minimal disruption to the team.
resource,자원,She managed limited resources efficiently to complete the project on time.
respond,반응하다,The company responded quickly to the customer's complaint and resolved it.
restore,복구하다,He restored the deleted files using a backup from the previous day.
retain,보유하다,The company worked hard to retain its most experienced employees.
review,검토,She completed a thorough review of all submitted documents before deciding.
revise,개정하다,He revised the company manual to reflect the new policies and procedures.
risk,위험,She assessed all the risks carefully before signing the final agreement.
role,역할,His role in the project was to coordinate between the two main departments.
routine,루틴,She developed a productive morning routine that sets the tone for her day.
scale,규모,They scaled the project up after receiving additional funding from investors.
schedule,일정을 잡다,He scheduled all the interviews to take place within a single week.
scope,범위,The scope of the project expanded significantly after the client added requirements.
segment,부분으로 나누다,She segmented the target audience by age group and purchasing behavior.
sensitive,민감한,He handled the sensitive information with strict confidentiality protocols.
sequence,순서,She followed the sequence of steps exactly as written in the guide.
shift,변화하다,Consumer behavior has shifted significantly toward online shopping recently.
signal,보내다,He signaled his agreement with a clear nod during the negotiation.
simplify,쉽게 하다,She simplified the onboarding guide so new hires could start faster.
solve,해소하다,He solved the bottleneck in the process within a single afternoon.
specify,특정 짓다,She specified exactly what she needed before the project began.
suggest,제안하다,He suggested a different approach that saved the team a week of work.
support,보조하다,She supported her manager during the busiest period of the year.
sustain,계속 이어가다,He sustained the team's momentum even during the most challenging weeks.
